PULocationID,hour,dow,is_weekend,lag_1,lag_24,ma_3,ma_24,predict_hour,pred_rides,LocationID,Borough,Zone,rank_overall
168,0,4,0,23.0,20.0,27.33333333333333,28.875,2025-08-01,0.1302429,168.0,Bronx,Mott Haven/Port Morris,54
69,0,4,0,28.0,18.0,21.33333333333333,22.25,2025-08-01,0.12359514,69.0,Bronx,East Concourse/Concourse Village,56
247,0,4,0,17.0,32.0,22.666666666666668,23.25,2025-08-01,0.121099256,247.0,Bronx,West Concourse,57
254,0,4,0,21.0,8.0,22.33333333333333,20.666666666666668,2025-08-01,0.0937403,254.0,Bronx,Williamsbridge/Olinville,77
213,0,4,0,19.0,12.0,22.33333333333333,22.58333333333333,2025-08-01,0.09327852,213.0,Bronx,Soundview/Castle Hill,78
61,0,4,0,69.0,45.0,72.33333333333333,57.75,2025-08-01,0.3607832,61.0,Brooklyn,Crown Heights North,9
37,0,4,0,79.0,30.0,61.66666666666666,41.16666666666666,2025-08-01,0.35286567,37.0,Brooklyn,Bushwick South,10
181,0,4,0,78.0,21.0,58.66666666666666,41.375,2025-08-01,0.34168968,181.0,Brooklyn,Park Slope,12
255,0,4,0,60.0,32.0,65.66666666666667,36.625,2025-08-01,0.305359,255.0,Brooklyn,Williamsburg (North Side),14
256,0,4,0,45.0,36.0,50.0,32.791666666666664,2025-08-01,0.2519945,256.0,Brooklyn,Williamsburg (South Side),17
230,0,4,0,89.0,78.0,106.0,56.958333333333336,2025-08-01,0.4762671,230.0,Manhattan,Times Sq/Theatre District,3
161,0,4,0,89.0,56.0,114.33333333333331,65.0,2025-08-01,0.42624035,161.0,Manhattan,Midtown Center,4
148,0,4,0,76.0,63.0,75.0,40.708333333333336,2025-08-01,0.4234239,148.0,Manhattan,Lower East Side,5
79,0,4,0,84.0,44.0,86.33333333333333,42.083333333333336,2025-08-01,0.40511912,79.0,Manhattan,East Village,6
234,0,4,0,64.0,57.0,92.66666666666669,52.5,2025-08-01,0.39747098,234.0,Manhattan,Union Sq,7
138,0,4,0,132.0,191.0,148.0,81.83333333333333,2025-08-01,0.7728254,138.0,Queens,LaGuardia Airport,1
132,0,4,0,98.0,132.0,109.0,63.458333333333336,2025-08-01,0.52259076,132.0,Queens,JFK Airport,2
7,0,4,0,39.0,29.0,41.66666666666666,41.458333333333336,2025-08-01,0.21357225,7.0,Queens,Astoria,22
130,0,4,0,36.0,30.0,37.333333333333336,35.958333333333336,2025-08-01,0.19584091,130.0,Queens,Jamaica,27
198,0,4,0,46.0,18.0,38.66666666666666,26.45833333333333,2025-08-01,0.19515811,198.0,Queens,Ridgewood,28
221,0,4,0,4.0,8.0,6.333333333333333,7.5,2025-08-01,0.026955284,221.0,Staten Island,Stapleton,183
156,0,4,0,8.0,7.0,4.333333333333333,6.833333333333333,2025-08-01,0.025648052,156.0,Staten Island,Mariners Harbor,185
206,0,4,0,4.0,2.0,5.333333333333333,10.166666666666666,2025-08-01,0.024474295,206.0,Staten Island,Saint George/New Brighton,191
23,0,4,0,4.0,3.0,5.333333333333333,6.625,2025-08-01,0.021217462,23.0,Staten Island,Bloomfield/Emerson Hill,196
6,0,4,0,6.0,1.0,3.0,3.458333333333333,2025-08-01,0.02021411,6.0,Staten Island,Arrochar/Fort Wadsworth,200
